actionScope,audienceSurface,routeFamily,governingObjectType,governingObjectRef,canonicalObjectDescriptorRef,governingBoundedContextRef,parentAnchorRef,requiredContextBoundaryRefs,requiredActingContext,requiredActingScopeTuple,requiredGrantFamily,requiredRuntimeBindingRef,primaryRecoveryEnvelopeRef,source_refs,rationale
claim,audsurf_patient_transaction_recovery,rf_patient_secure_link_recovery,Request,request://current-claim-target,COD_056_REQUEST_V1,identity_access,anchor://request-claim/current,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,patient_claim_recovery_session,not_required_patient_subject_session,transaction_action_minimal,ASRB_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1,RecoveryEnvelope::claim-rebind,prompt/056.md; blueprint/phase-0-the-foundation-protocol.md#1.21 RouteIntentBinding; blueprint/phase-2-identity-and-echoes.md#Continuation authority and claim law; blueprint/patient-account-and-communications-blueprint.md#Patient action recovery contract; data/analysis/frontend_contract_manifests.json#MCC_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1; data/analysis/route_to_scope_requirements.csv#RSR_054_GWS_PATIENT_SECURE_LINK_RECOVERY_RF_PATIENT_SECURE_LINK_RECOVERY; data/analysis/gateway_route_family_matrix.csv#rf_patient_secure_link_recovery,Claim and continuation routes must bind the current request target tuple before they can widen from claim-pending or recovery posture into writable detail.
respond_more_info,audsurf_patient_transaction_recovery,rf_patient_secure_link_recovery,MoreInfoCycle,moreInfoCycle://current,COD_056_MORE_INFO_CYCLE_V1,communication,anchor://more-info-cycle/current,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,patient_secure_link_recovery_session,not_required_patient_subject_session,transaction_action_minimal,ASRB_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1,RecoveryEnvelope::more-info-rebind,prompt/056.md; blueprint/phase-0-the-foundation-protocol.md#6.5A More-info reply-window and late-response contract; blueprint/patient-account-and-communications-blueprint.md#Patient contact repair projection; data/analysis/frontend_contract_manifests.json#MCC_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1; data/analysis/route_to_scope_requirements.csv#RSR_054_GWS_PATIENT_SECURE_LINK_RECOVERY_RF_PATIENT_SECURE_LINK_RECOVERY; data/analysis/gateway_route_family_matrix.csv#rf_patient_secure_link_recovery,"More-info replies stay bound to the current cycle, reply window checkpoint, reachability epoch, and request lineage instead of relying on link TTL or copied email text."
reply_message,audsurf_patient_authenticated_portal,rf_patient_messages,ClinicianMessageThread,messageThread://current,COD_056_MESSAGE_THREAD_V1,communication,anchor://message-thread/current,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,patient_authenticated_session,not_required_patient_subject_session,patient_session_claimed,ASRB_050_RF_PATIENT_MESSAGES_V1,RecoveryEnvelope::conversation-rebind,prompt/056.md; blueprint/callback-and-clinician-messaging-loop.md#Mutation and settlement law; blueprint/patient-account-and-communications-blueprint.md#Patient action settlement contract; data/analysis/frontend_contract_manifests.json#MCC_050_RF_PATIENT_MESSAGES_V1; data/analysis/route_to_scope_requirements.csv#RSR_054_GWS_PATIENT_MESSAGES_RF_PATIENT_MESSAGES; data/analysis/gateway_route_family_matrix.csv#rf_patient_messages,"Message reply flows must preserve the current thread tuple, reachability authority, and settlement chain instead of inferring actionability from visible composer state alone."
respond_callback,audsurf_patient_authenticated_portal,rf_patient_messages,CallbackCase,callbackCase://current,COD_056_CALLBACK_CASE_V1,communication,anchor://callback-cluster/current,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,patient_authenticated_session,not_required_patient_subject_session,patient_session_claimed,ASRB_050_RF_PATIENT_MESSAGES_V1,RecoveryEnvelope::callback-rebind,prompt/056.md; blueprint/callback-and-clinician-messaging-loop.md#Mutation and settlement law; blueprint/patient-account-and-communications-blueprint.md#Patient action recovery contract; data/analysis/frontend_contract_manifests.json#MCC_050_RF_PATIENT_MESSAGES_V1; data/analysis/route_to_scope_requirements.csv#RSR_054_GWS_PATIENT_MESSAGES_RF_PATIENT_MESSAGES; data/analysis/gateway_route_family_matrix.csv#rf_patient_messages,"Callback response paths depend on the current callback case, reachability truth, and settlement chain rather than on list-row state or recent delivery observations."
manage_booking,audsurf_patient_authenticated_portal,rf_patient_appointments,BookingCase,bookingCase://current,COD_056_BOOKING_CASE_V1,booking,anchor://appointment/current,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,patient_authenticated_session,not_required_patient_subject_session,patient_session_claimed,ASRB_050_RF_PATIENT_APPOINTMENTS_V1,RecoveryEnvelope::booking-manage,prompt/056.md; blueprint/phase-4-the-booking-engine.md#Booking continuity evidence projection; blueprint/patient-account-and-communications-blueprint.md#Patient action settlement contract; data/analysis/frontend_contract_manifests.json#MCC_050_RF_PATIENT_APPOINTMENTS_V1; data/analysis/route_to_scope_requirements.csv#RSR_054_GWS_PATIENT_APPOINTMENTS_RF_PATIENT_APPOINTMENTS; data/analysis/gateway_route_family_matrix.csv#rf_patient_appointments,Booking manage actions must bind the current booking case and governing version so stale appointment rows cannot mutate a superseded booking target.
accept_waitlist_offer,audsurf_patient_authenticated_portal,rf_patient_appointments,WaitlistOffer,waitlistOffer://current,COD_056_WAITLIST_OFFER_V1,booking,anchor://waitlist-offer/current,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,patient_authenticated_session,not_required_patient_subject_session,patient_session_claimed,ASRB_050_RF_PATIENT_APPOINTMENTS_V1,RecoveryEnvelope::waitlist-accept,prompt/056.md; blueprint/platform-frontend-blueprint.md#Route continuity evidence contract; blueprint/patient-account-and-communications-blueprint.md#Patient action settlement contract; data/analysis/frontend_contract_manifests.json#MCC_050_RF_PATIENT_APPOINTMENTS_V1; data/analysis/route_to_scope_requirements.csv#RSR_054_GWS_PATIENT_APPOINTMENTS_RF_PATIENT_APPOINTMENTS; data/analysis/gateway_route_family_matrix.csv#rf_patient_appointments,"Waitlist acceptance must validate the active offer window, reachability duty, and current parent anchor before the patient can settle the offer in place."
accept_network_alternative,audsurf_patient_authenticated_portal,rf_patient_appointments,AlternativeOfferSession,alternativeOfferSession://ambiguous,COD_056_ALTERNATIVE_OFFER_V1,hub_coordination,anchor://network-alternative/current,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,patient_authenticated_session,not_required_patient_subject_session,patient_session_claimed,ASRB_050_RF_PATIENT_APPOINTMENTS_V1,RecoveryEnvelope::alternative-offer-disambiguation,prompt/056.md; blueprint/phase-5-the-network-horizon.md#Alternative-offer truth; blueprint/patient-account-and-communications-blueprint.md#Patient action recovery contract; data/analysis/frontend_contract_manifests.json#MCC_050_RF_PATIENT_APPOINTMENTS_V1; data/analysis/route_to_scope_requirements.csv#RSR_054_GWS_PATIENT_APPOINTMENTS_RF_PATIENT_APPOINTMENTS; data/analysis/gateway_route_family_matrix.csv#rf_patient_appointments,Alternative-offer acceptance must fail closed when the authoritative target is ambiguous or the hub-owned offer session no longer matches the bound patient tuple.
pharmacy_choice,audsurf_patient_authenticated_portal,rf_patient_requests,PharmacyCase,pharmacyCase://current,COD_056_PHARMACY_CASE_V1,pharmacy,anchor://pharmacy-choice/current,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,patient_authenticated_session,not_required_patient_subject_session,patient_session_claimed,ASRB_050_RF_PATIENT_REQUESTS_V1,RecoveryEnvelope::pharmacy-choice,prompt/056.md; blueprint/phase-6-the-pharmacy-loop.md#Dispatch proof and outcome ingest; blueprint/patient-account-and-communications-blueprint.md#Patient action settlement contract; data/analysis/frontend_contract_manifests.json#MCC_050_RF_PATIENT_REQUESTS_V1; data/analysis/route_to_scope_requirements.csv#RSR_054_GWS_PATIENT_REQUESTS_RF_PATIENT_REQUESTS; data/analysis/gateway_route_family_matrix.csv#rf_patient_requests,Patient pharmacy choice remains request-bound and must validate the current pharmacy case tuple before a new choice can settle.
pharmacy_consent,audsurf_patient_authenticated_portal,rf_patient_requests,PharmacyCase,pharmacyCase://consent-hold,COD_056_PHARMACY_CASE_V1,pharmacy,anchor://pharmacy-consent/current,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,patient_authenticated_session,not_required_patient_subject_session,patient_session_claimed,ASRB_050_RF_PATIENT_REQUESTS_V1,RecoveryEnvelope::pharmacy-consent,prompt/056.md; blueprint/patient-account-and-communications-blueprint.md#Patient consent checkpoint projection; blueprint/phase-6-the-pharmacy-loop.md#Consent and outcome rules; data/analysis/frontend_contract_manifests.json#MCC_050_RF_PATIENT_REQUESTS_V1; data/analysis/route_to_scope_requirements.csv#RSR_054_GWS_PATIENT_REQUESTS_RF_PATIENT_REQUESTS; data/analysis/gateway_route_family_matrix.csv#rf_patient_requests,Consent-gated pharmacy actions must preserve the blocked context in place and may only resume after the current consent checkpoint is rebound on the same pharmacy case tuple.
support_repair_action,audsurf_support_workspace,rf_support_ticket_workspace,SupportMutationAttempt,supportMutationAttempt://current,COD_056_SUPPORT_MUTATION_ATTEMPT_V1,support,anchor://support-ticket/current,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,support_recovery_workspace,AST_054_SUPPORT_WORKSPACE_V1,governed_support_mutation,ASRB_050_RF_SUPPORT_TICKET_WORKSPACE_V1,RecoveryEnvelope::support-ticket-repair,prompt/056.md; blueprint/staff-operations-and-support-blueprint.md#Support mutation contract; blueprint/callback-and-clinician-messaging-loop.md#Mutation and settlement law; data/analysis/frontend_contract_manifests.json#MCC_050_RF_SUPPORT_TICKET_WORKSPACE_V1; data/analysis/route_to_scope_requirements.csv#RSR_054_GWS_SUPPORT_TICKET_WORKSPACE_RF_SUPPORT_TICKET_WORKSPACE; data/analysis/gateway_route_family_matrix.csv#rf_support_ticket_workspace,"Support resend, reissue, channel repair, and attachment recovery must reuse the current support-lineage binding and authoritative settlement instead of sending a second side effect from a stale ticket view."
ops_resilience_action,audsurf_operations_console,rf_operations_drilldown,ReleaseWatchTuple,releaseWatchTuple://current,COD_056_RELEASE_WATCH_TUPLE_V1,release_control,anchor://ops-lens/current,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS; CBC_041_RELEASE_CONTROL_TO_OBSERVABILITY,operations_watch_console,AST_054_OPERATIONS_WATCH_V1,platform_control_mutation,ASRB_050_RF_OPERATIONS_DRILLDOWN_V1,RecoveryEnvelope::ops-runtime-refresh,prompt/056.md; blueprint/platform-runtime-and-release-blueprint.md#ReleaseWatchTuple; blueprint/platform-runtime-and-release-blueprint.md#ReleaseRecoveryDisposition; data/analysis/frontend_contract_manifests.json#MCC_050_RF_OPERATIONS_DRILLDOWN_V1; data/analysis/route_to_scope_requirements.csv#RSR_054_GWS_OPERATIONS_DRILLDOWN_RF_OPERATIONS_DRILLDOWN; data/analysis/gateway_route_family_matrix.csv#rf_operations_drilldown,"Operations interventions must remain bound to the exact watch tuple, parity verdict, and freeze posture so a stale drilldown cannot issue live resilience control from detached diagnostics."
hub_manage_booking,audsurf_hub_desk,rf_hub_case_management,HubCoordinationCase,hubCoordinationCase://current,COD_056_HUB_CASE_V1,hub_coordination,anchor://hub-case/current,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,hub_cross_org_coordination,AST_054_HUB_COORDINATION_V1,staff_scoped_coordination,ASRB_050_RF_HUB_CASE_MANAGEMENT_V1,RecoveryEnvelope::hub-case-rebind,prompt/056.md; blueprint/phase-5-the-network-horizon.md#Network coordination contract; blueprint/staff-operations-and-support-blueprint.md#Staff audience coverage projection; data/analysis/frontend_contract_manifests.json#MCC_050_RF_HUB_CASE_MANAGEMENT_V1; data/analysis/route_to_scope_requirements.csv#RSR_054_GWS_HUB_CASE_MANAGEMENT_RF_HUB_CASE_MANAGEMENT; data/analysis/gateway_route_family_matrix.csv#rf_hub_case_management,Hub coordination mutations require the current cross-organisation acting scope tuple and exact hub case tuple before bookings or alternatives may settle.
staff_claim_task,audsurf_clinical_workspace,rf_staff_workspace_child,TriageTask,triageTask://current,COD_056_TRIAGE_TASK_V1,triage_workspace,anchor://workspace-task/current,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,clinical_workspace_review,AST_054_CLINICAL_WORKSPACE_V1,staff_scoped_coordination,ASRB_050_RF_STAFF_WORKSPACE_CHILD_V1,RecoveryEnvelope::workspace-task-rebind,prompt/056.md; blueprint/phase-3-the-human-checkpoint.md#Triage contract and workspace state model; blueprint/platform-frontend-blueprint.md#ContinuityTransitionCheckpoint; data/analysis/frontend_contract_manifests.json#MCC_050_RF_STAFF_WORKSPACE_CHILD_V1; data/analysis/route_to_scope_requirements.csv#RSR_054_GWS_CLINICIAN_WORKSPACE_CHILD_RF_STAFF_WORKSPACE_CHILD; data/analysis/gateway_route_family_matrix.csv#rf_staff_workspace_child,"Workspace task claim must stay bound to the current task tuple, lineage fence, and clinical acting scope instead of allowing stale queue rows to acquire work."
pharmacy_console_settlement,audsurf_pharmacy_console,rf_pharmacy_console,PharmacyCase,pharmacyCase://current,COD_056_PHARMACY_CASE_V1,pharmacy,anchor://pharmacy-case/current,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,pharmacy_servicing_console,AST_054_PHARMACY_SERVICING_V1,pharmacy_scoped_delivery,ASRB_050_RF_PHARMACY_CONSOLE_V1,RecoveryEnvelope::pharmacy-console-settlement,prompt/056.md; blueprint/phase-6-the-pharmacy-loop.md#Dispatch proof and outcome ingest; blueprint/pharmacy-console-frontend-architecture.md#Settlement and recovery surfaces; data/analysis/frontend_contract_manifests.json#MCC_050_RF_PHARMACY_CONSOLE_V1; data/analysis/route_to_scope_requirements.csv#RSR_054_GWS_PHARMACY_CONSOLE_RF_PHARMACY_CONSOLE; data/analysis/gateway_route_family_matrix.csv#rf_pharmacy_console,Pharmacy console settlement must remain tied to the current pharmacy case version and the reachability or outcome reconciliation tuple before it can advance calm servicing posture.
