event_name,namespace_code,owning_context,governing_object_type,event_purpose,compatibility_mode,replay_semantics,schema_version_ref,defect_state,active_producer_context_refs,active_producer_service_refs,legacy_alias_refs,route_family_refs
booking.commit.started,booking,booking,BookingCase,lifecycle,additive_only,append_only,CESV_BOOKING_COMMIT_STARTED_V1,declared,booking; hub_coordination; patient_experience; platform_integration,service_command_api; service_notification_worker,,rf_patient_appointments; rf_hub_queue; rf_hub_case_management; rf_staff_workspace
booking.commit.confirmation_pending,booking,booking,BookingCase,blocker,additive_only,append_only,CESV_BOOKING_COMMIT_CONFIRMATION_PENDING_V1,declared,booking; hub_coordination; patient_experience; platform_integration,service_command_api; service_notification_worker,,rf_patient_appointments; rf_hub_queue; rf_hub_case_management; rf_staff_workspace
booking.commit.reconciliation_pending,booking,booking,BookingCase,blocker,additive_only,append_only,CESV_BOOKING_COMMIT_RECONCILIATION_PENDING_V1,declared,booking; hub_coordination; patient_experience; platform_integration,service_command_api; service_notification_worker,,rf_patient_appointments; rf_hub_queue; rf_hub_case_management; rf_staff_workspace
booking.commit.confirmed,booking,booking,BookingCase,settlement,new_version_required,append_only,CESV_BOOKING_COMMIT_CONFIRMED_V1,declared,booking; hub_coordination; patient_experience; platform_integration,service_command_api; service_notification_worker,,rf_patient_appointments; rf_hub_queue; rf_hub_case_management; rf_staff_workspace
booking.commit.ambiguous,booking,booking,BookingCase,lifecycle,additive_only,append_only,CESV_BOOKING_COMMIT_AMBIGUOUS_V1,declared,booking; hub_coordination; patient_experience; platform_integration,service_command_api; service_notification_worker,,rf_patient_appointments; rf_hub_queue; rf_hub_case_management; rf_staff_workspace
booking.confirmation.truth.updated,booking,booking,ExternalConfirmationGate,evidence,additive_only,idempotent_replace,CESV_BOOKING_CONFIRMATION_TRUTH_UPDATED_V1,declared,booking; hub_coordination; patient_experience; platform_integration,service_command_api; service_notification_worker,,rf_patient_appointments; rf_hub_queue; rf_hub_case_management; rf_staff_workspace
booking.appointment.created,booking,booking,BookingCase,lifecycle,additive_only,append_only,CESV_BOOKING_APPOINTMENT_CREATED_V1,declared,booking; hub_coordination; patient_experience; platform_integration,service_command_api; service_notification_worker,,rf_patient_appointments; rf_hub_queue; rf_hub_case_management; rf_staff_workspace
booking.reminders.scheduled,booking,booking,BookingCase,lifecycle,additive_only,append_only,CESV_BOOKING_REMINDERS_SCHEDULED_V1,declared,booking; hub_coordination; patient_experience; platform_integration,service_command_api; service_notification_worker,,rf_patient_appointments; rf_hub_queue; rf_hub_case_management; rf_staff_workspace
booking.cancelled,booking,booking,BookingCase,lifecycle,additive_only,append_only,CESV_BOOKING_CANCELLED_V1,declared,booking; hub_coordination; patient_experience; platform_integration,service_command_api; service_notification_worker,,rf_patient_appointments; rf_hub_queue; rf_hub_case_management; rf_staff_workspace
booking.reschedule.started,booking,booking,BookingCase,lifecycle,additive_only,append_only,CESV_BOOKING_RESCHEDULE_STARTED_V1,declared,booking; hub_coordination; patient_experience; platform_integration,service_command_api; service_notification_worker,,rf_patient_appointments; rf_hub_queue; rf_hub_case_management; rf_staff_workspace
booking.manage.continuity.updated,booking,booking,BookingContinuityEvidenceProjection,continuity,new_version_required,idempotent_replace,CESV_BOOKING_MANAGE_CONTINUITY_UPDATED_V1,declared,booking; hub_coordination; patient_experience; platform_integration,service_command_api; service_notification_worker,,rf_patient_appointments; rf_hub_queue; rf_hub_case_management; rf_staff_workspace
hub.case.released,hub,hub_coordination,HubCoordinationCase,lifecycle,additive_only,superseding,CESV_HUB_CASE_RELEASED_V1,declared,hub_coordination; booking,service_command_api,,rf_hub_queue; rf_hub_case_management
hub.case.transfer_started,hub,hub_coordination,HubCoordinationCase,lifecycle,additive_only,append_only,CESV_HUB_CASE_TRANSFER_STARTED_V1,declared,hub_coordination; booking,service_command_api,,rf_hub_queue; rf_hub_case_management
hub.case.transfer_accepted,hub,hub_coordination,HubCoordinationCase,settlement,new_version_required,append_only,CESV_HUB_CASE_TRANSFER_ACCEPTED_V1,declared,hub_coordination; booking,service_command_api,,rf_hub_queue; rf_hub_case_management
hub.capacity.snapshot.created,hub,hub_coordination,CapacityReservation,evidence,additive_only,append_only,CESV_HUB_CAPACITY_SNAPSHOT_CREATED_V1,declared,hub_coordination; booking,service_command_api,,rf_hub_queue; rf_hub_case_management
hub.candidates.rank_completed,hub,hub_coordination,HubCoordinationCase,settlement,new_version_required,append_only,CESV_HUB_CANDIDATES_RANK_COMPLETED_V1,declared,hub_coordination; booking,service_command_api,,rf_hub_queue; rf_hub_case_management
hub.offer.created,hub,hub_coordination,HubCoordinationCase,lifecycle,additive_only,append_only,CESV_HUB_OFFER_CREATED_V1,declared,hub_coordination; booking,service_command_api,,rf_hub_queue; rf_hub_case_management
hub.offer.accepted,hub,hub_coordination,HubCoordinationCase,settlement,new_version_required,append_only,CESV_HUB_OFFER_ACCEPTED_V1,declared,hub_coordination; booking,service_command_api,,rf_hub_queue; rf_hub_case_management
hub.booking.native_started,hub,hub_coordination,HubCoordinationCase,lifecycle,additive_only,append_only,CESV_HUB_BOOKING_NATIVE_STARTED_V1,declared,hub_coordination; booking,service_command_api,,rf_hub_queue; rf_hub_case_management
hub.booking.confirmation_pending,hub,hub_coordination,HubCoordinationCase,blocker,additive_only,append_only,CESV_HUB_BOOKING_CONFIRMATION_PENDING_V1,declared,hub_coordination; booking,service_command_api,,rf_hub_queue; rf_hub_case_management
hub.booking.externally_confirmed,hub,hub_coordination,HubCoordinationCase,settlement,new_version_required,append_only,CESV_HUB_BOOKING_EXTERNALLY_CONFIRMED_V1,declared,hub_coordination; booking,service_command_api,,rf_hub_queue; rf_hub_case_management
hub.practice.notified,hub,hub_coordination,HubCoordinationCase,lifecycle,additive_only,append_only,CESV_HUB_PRACTICE_NOTIFIED_V1,declared,hub_coordination; booking,service_command_api,,rf_hub_queue; rf_hub_case_management
pharmacy.dispatch.started,pharmacy,pharmacy,PharmacyDispatchAttempt,lifecycle,additive_only,append_only,CESV_PHARMACY_DISPATCH_STARTED_V1,declared,pharmacy; platform_integration; patient_experience,service_command_api; service_notification_worker,,rf_pharmacy_console; rf_patient_requests; rf_patient_appointments
pharmacy.dispatch.acknowledged,pharmacy,pharmacy,PharmacyDispatchAttempt,lifecycle,additive_only,append_only,CESV_PHARMACY_DISPATCH_ACKNOWLEDGED_V1,declared,pharmacy; platform_integration; patient_experience,service_command_api; service_notification_worker,,rf_pharmacy_console; rf_patient_requests; rf_patient_appointments
pharmacy.dispatch.confirmed,pharmacy,pharmacy,PharmacyDispatchAttempt,settlement,new_version_required,append_only,CESV_PHARMACY_DISPATCH_CONFIRMED_V1,declared,pharmacy; platform_integration; patient_experience,service_command_api; service_notification_worker,,rf_pharmacy_console; rf_patient_requests; rf_patient_appointments
pharmacy.dispatch.proof_missing,pharmacy,pharmacy,PharmacyDispatchAttempt,blocker,additive_only,append_only,CESV_PHARMACY_DISPATCH_PROOF_MISSING_V1,declared,pharmacy; platform_integration; patient_experience,service_command_api; service_notification_worker,,rf_pharmacy_console; rf_patient_requests; rf_patient_appointments
pharmacy.consent.revoked,pharmacy,pharmacy,PharmacyCase,lifecycle,additive_only,superseding,CESV_PHARMACY_CONSENT_REVOKED_V1,declared,pharmacy; platform_integration; patient_experience,service_command_api; service_notification_worker,,rf_pharmacy_console; rf_patient_requests; rf_patient_appointments
pharmacy.consent.revocation.recorded,pharmacy,pharmacy,PharmacyCase,lifecycle,additive_only,append_only,CESV_PHARMACY_CONSENT_REVOCATION_RECORDED_V1,declared,pharmacy; platform_integration; patient_experience,service_command_api; service_notification_worker,,rf_pharmacy_console; rf_patient_requests; rf_patient_appointments
pharmacy.outcome.received,pharmacy,pharmacy,PharmacyCase,lifecycle,additive_only,append_only,CESV_PHARMACY_OUTCOME_RECEIVED_V1,declared,pharmacy; platform_integration; patient_experience,service_command_api; service_notification_worker,,rf_pharmacy_console; rf_patient_requests; rf_patient_appointments
pharmacy.outcome.unmatched,pharmacy,pharmacy,PharmacyCase,lifecycle,additive_only,append_only,CESV_PHARMACY_OUTCOME_UNMATCHED_V1,declared,pharmacy; platform_integration; patient_experience,service_command_api; service_notification_worker,,rf_pharmacy_console; rf_patient_requests; rf_patient_appointments
pharmacy.outcome.reconciled,pharmacy,pharmacy,PharmacyCase,settlement,new_version_required,append_only,CESV_PHARMACY_OUTCOME_RECONCILED_V1,declared,pharmacy; platform_integration; patient_experience,service_command_api; service_notification_worker,,rf_pharmacy_console; rf_patient_requests; rf_patient_appointments
pharmacy.reachability.blocked,pharmacy,pharmacy,PharmacyCase,blocker,additive_only,append_only,CESV_PHARMACY_REACHABILITY_BLOCKED_V1,declared,pharmacy; platform_integration; patient_experience,service_command_api; service_notification_worker,,rf_pharmacy_console; rf_patient_requests; rf_patient_appointments
pharmacy.reachability.repaired,pharmacy,pharmacy,PharmacyCase,recovery,additive_only,append_only,CESV_PHARMACY_REACHABILITY_REPAIRED_V1,declared,pharmacy; platform_integration; patient_experience,service_command_api; service_notification_worker,,rf_pharmacy_console; rf_patient_requests; rf_patient_appointments
pharmacy.case.resolved,pharmacy,pharmacy,PharmacyCase,settlement,new_version_required,append_only,CESV_PHARMACY_CASE_RESOLVED_V1,declared,pharmacy; platform_integration; patient_experience,service_command_api; service_notification_worker,,rf_pharmacy_console; rf_patient_requests; rf_patient_appointments
pharmacy.case.bounce_back,pharmacy,pharmacy,PharmacyCase,lifecycle,additive_only,append_only,CESV_PHARMACY_CASE_BOUNCE_BACK_V1,declared,pharmacy; platform_integration; patient_experience,service_command_api; service_notification_worker,,rf_pharmacy_console; rf_patient_requests; rf_patient_appointments
pharmacy.console_settlement.continuity.updated,pharmacy,pharmacy,PharmacyCase,continuity,new_version_required,idempotent_replace,CESV_PHARMACY_CONSOLE_SETTLEMENT_CONTINUITY_UPDATED_V1,declared,pharmacy; platform_integration; patient_experience,service_command_api; service_notification_worker,,rf_pharmacy_console; rf_patient_requests; rf_patient_appointments
patient.receipt.issued,patient,patient_experience,PatientReceiptEnvelope,settlement,namespace_break,append_only,CESV_PATIENT_RECEIPT_ISSUED_V1,declared,patient_experience; communications; booking; hub_coordination; identity_access,service_command_api,,rf_patient_home; rf_patient_requests; rf_patient_appointments; rf_patient_health_record; rf_patient_messages; rf_patient_embedded_channel
patient.receipt.degraded,patient,patient_experience,PatientReceiptEnvelope,recovery,namespace_break,append_only,CESV_PATIENT_RECEIPT_DEGRADED_V1,declared,patient_experience; communications; booking; hub_coordination; identity_access,service_command_api,,rf_patient_home; rf_patient_requests; rf_patient_appointments; rf_patient_health_record; rf_patient_messages; rf_patient_embedded_channel
patient.receipt.consistency.updated,patient,patient_experience,PatientReceiptEnvelope,lifecycle,additive_only,idempotent_replace,CESV_PATIENT_RECEIPT_CONSISTENCY_UPDATED_V1,declared,patient_experience; communications; booking; hub_coordination; identity_access,service_command_api,,rf_patient_home; rf_patient_requests; rf_patient_appointments; rf_patient_health_record; rf_patient_messages; rf_patient_embedded_channel
patient.nav.digest.updated,patient,patient_experience,PatientNavUrgencyDigest,evidence,additive_only,idempotent_replace,CESV_PATIENT_NAV_DIGEST_UPDATED_V1,declared,patient_experience; communications; booking; hub_coordination; identity_access,service_command_api,,rf_patient_home; rf_patient_requests; rf_patient_appointments; rf_patient_health_record; rf_patient_messages; rf_patient_embedded_channel
patient.nav.return.bound,patient,patient_experience,PatientNavReturnContract,continuity,new_version_required,append_only,CESV_PATIENT_NAV_RETURN_BOUND_V1,declared,patient_experience; communications; booking; hub_coordination; identity_access,service_command_api,,rf_patient_home; rf_patient_requests; rf_patient_appointments; rf_patient_health_record; rf_patient_messages; rf_patient_embedded_channel
patient.record_action.context.issued,patient,patient_experience,RecordActionContextToken,continuity,new_version_required,append_only,CESV_PATIENT_RECORD_ACTION_CONTEXT_ISSUED_V1,declared,patient_experience; communications; booking; hub_coordination; identity_access,service_command_api,,rf_patient_home; rf_patient_requests; rf_patient_appointments; rf_patient_health_record; rf_patient_messages; rf_patient_embedded_channel
patient.recovery.continuation.issued,patient,patient_experience,RecoveryContinuationToken,continuity,new_version_required,append_only,CESV_PATIENT_RECOVERY_CONTINUATION_ISSUED_V1,declared,patient_experience; communications; booking; hub_coordination; identity_access,service_command_api,,rf_patient_home; rf_patient_requests; rf_patient_appointments; rf_patient_health_record; rf_patient_messages; rf_patient_embedded_channel
communication.queued,communication,communications,CommunicationEnvelope,lifecycle,additive_only,append_only,CESV_COMMUNICATION_QUEUED_V1,declared,communications; platform_integration; support; patient_experience,service_command_api; service_notification_worker,,rf_patient_messages; rf_support_ticket_workspace
communication.receipt.enveloped,communication,communications,CommunicationEnvelope,evidence,additive_only,append_only,CESV_COMMUNICATION_RECEIPT_ENVELOPED_V1,declared,communications; platform_integration; support; patient_experience,service_command_api; service_notification_worker,,rf_patient_messages; rf_support_ticket_workspace
communication.command.settled,communication,communications,ConversationCommandSettlement,settlement,new_version_required,append_only,CESV_COMMUNICATION_COMMAND_SETTLED_V1,declared,communications; platform_integration; support; patient_experience,service_command_api; service_notification_worker,,rf_patient_messages; rf_support_ticket_workspace
communication.delivery.evidence.recorded,communication,communications,CommunicationEnvelope,evidence,additive_only,append_only,CESV_COMMUNICATION_DELIVERY_EVIDENCE_RECORDED_V1,declared,communications; platform_integration; support; patient_experience,service_command_api; service_notification_worker,R_MSG.delivery.receipt; provider.delivery.receipt,rf_patient_messages; rf_support_ticket_workspace
communication.callback.outcome.recorded,communication,communications,CommunicationEnvelope,evidence,additive_only,append_only,CESV_COMMUNICATION_CALLBACK_OUTCOME_RECORDED_V1,declared,communications; platform_integration; support; patient_experience,service_command_api; service_notification_worker,R_GP.callback.outcome; R_REF.callback.outcome,rf_patient_messages; rf_support_ticket_workspace
reachability.dependency.created,reachability,identity_access,ReachabilityDependency,lifecycle,additive_only,append_only,CESV_REACHABILITY_DEPENDENCY_CREATED_V1,declared,identity_access; communications; platform_integration,service_command_api; service_notification_worker,,rf_patient_messages; rf_pharmacy_console; rf_support_ticket_workspace
reachability.assessment.settled,reachability,identity_access,ReachabilityAssessmentRecord,settlement,new_version_required,append_only,CESV_REACHABILITY_ASSESSMENT_SETTLED_V1,declared,identity_access; communications; platform_integration,service_command_api; service_notification_worker,,rf_patient_messages; rf_pharmacy_console; rf_support_ticket_workspace
reachability.dependency.failed,reachability,identity_access,ReachabilityDependency,blocker,additive_only,append_only,CESV_REACHABILITY_DEPENDENCY_FAILED_V1,declared,identity_access; communications; platform_integration,service_command_api; service_notification_worker,,rf_patient_messages; rf_pharmacy_console; rf_support_ticket_workspace
reachability.repair.started,reachability,identity_access,ReachabilityDependency,lifecycle,additive_only,append_only,CESV_REACHABILITY_REPAIR_STARTED_V1,declared,identity_access; communications; platform_integration,service_command_api; service_notification_worker,,rf_patient_messages; rf_pharmacy_console; rf_support_ticket_workspace
reachability.dependency.repaired,reachability,identity_access,ReachabilityDependency,recovery,additive_only,append_only,CESV_REACHABILITY_DEPENDENCY_REPAIRED_V1,declared,identity_access; communications; platform_integration,service_command_api; service_notification_worker,,rf_patient_messages; rf_pharmacy_console; rf_support_ticket_workspace
exception.review_case.opened,exception,identity_access,FallbackReviewCase,lifecycle,additive_only,append_only,CESV_EXCEPTION_REVIEW_CASE_OPENED_V1,declared,identity_access; intake_safety; support,service_command_api,fallback.review_case.opened,rf_staff_workspace; rf_support_ticket_workspace
exception.review_case.recovered,exception,identity_access,FallbackReviewCase,recovery,additive_only,append_only,CESV_EXCEPTION_REVIEW_CASE_RECOVERED_V1,declared,identity_access; intake_safety; support,service_command_api,fallback.review_case.recovered,rf_staff_workspace; rf_support_ticket_workspace
exception.artifact.quarantined,exception,identity_access,EvidenceSnapshot,blocker,additive_only,append_only,CESV_EXCEPTION_ARTIFACT_QUARANTINED_V1,declared,identity_access; intake_safety; support,service_command_api,,rf_staff_workspace; rf_support_ticket_workspace
exception.artifact.cleared,exception,identity_access,EvidenceSnapshot,lifecycle,additive_only,append_only,CESV_EXCEPTION_ARTIFACT_CLEARED_V1,declared,identity_access; intake_safety; support,service_command_api,,rf_staff_workspace; rf_support_ticket_workspace
confirmation.gate.created,confirmation,identity_access,ExternalConfirmationGate,lifecycle,additive_only,append_only,CESV_CONFIRMATION_GATE_CREATED_V1,declared,identity_access; booking; hub_coordination; pharmacy; platform_integration,service_command_api; service_notification_worker,external.confirmation.gate.created,rf_patient_appointments; rf_hub_case_management; rf_pharmacy_console
confirmation.gate.confirmed,confirmation,identity_access,ExternalConfirmationGate,settlement,new_version_required,append_only,CESV_CONFIRMATION_GATE_CONFIRMED_V1,declared,identity_access; booking; hub_coordination; pharmacy; platform_integration,service_command_api; service_notification_worker,external.confirmation.gate.confirmed,rf_patient_appointments; rf_hub_case_management; rf_pharmacy_console
confirmation.gate.disputed,confirmation,identity_access,ExternalConfirmationGate,blocker,additive_only,append_only,CESV_CONFIRMATION_GATE_DISPUTED_V1,declared,identity_access; booking; hub_coordination; pharmacy; platform_integration,service_command_api; service_notification_worker,external.confirmation.gate.disputed,rf_patient_appointments; rf_hub_case_management; rf_pharmacy_console
confirmation.gate.expired,confirmation,identity_access,ExternalConfirmationGate,lifecycle,additive_only,superseding,CESV_CONFIRMATION_GATE_EXPIRED_V1,declared,identity_access; booking; hub_coordination; pharmacy; platform_integration,service_command_api; service_notification_worker,external.confirmation.gate.expired,rf_patient_appointments; rf_hub_case_management; rf_pharmacy_console
confirmation.gate.cancelled,confirmation,identity_access,ExternalConfirmationGate,lifecycle,additive_only,append_only,CESV_CONFIRMATION_GATE_CANCELLED_V1,declared,identity_access; booking; hub_coordination; pharmacy; platform_integration,service_command_api; service_notification_worker,external.confirmation.gate.cancelled,rf_patient_appointments; rf_hub_case_management; rf_pharmacy_console
capacity.reservation.created,capacity,booking,CapacityReservation,lifecycle,additive_only,append_only,CESV_CAPACITY_RESERVATION_CREATED_V1,declared,booking; hub_coordination,service_command_api,,rf_patient_appointments; rf_hub_queue
capacity.reservation.soft_selected,capacity,booking,CapacityReservation,lifecycle,additive_only,append_only,CESV_CAPACITY_RESERVATION_SOFT_SELECTED_V1,declared,booking; hub_coordination,service_command_api,,rf_patient_appointments; rf_hub_queue
capacity.reservation.held,capacity,booking,CapacityReservation,lifecycle,additive_only,append_only,CESV_CAPACITY_RESERVATION_HELD_V1,declared,booking; hub_coordination,service_command_api,,rf_patient_appointments; rf_hub_queue
capacity.reservation.pending_confirmation,capacity,booking,CapacityReservation,blocker,additive_only,append_only,CESV_CAPACITY_RESERVATION_PENDING_CONFIRMATION_V1,declared,booking; hub_coordination,service_command_api,,rf_patient_appointments; rf_hub_queue
capacity.reservation.confirmed,capacity,booking,CapacityReservation,settlement,new_version_required,append_only,CESV_CAPACITY_RESERVATION_CONFIRMED_V1,declared,booking; hub_coordination,service_command_api,,rf_patient_appointments; rf_hub_queue
capacity.reservation.released,capacity,booking,CapacityReservation,lifecycle,additive_only,superseding,CESV_CAPACITY_RESERVATION_RELEASED_V1,declared,booking; hub_coordination,service_command_api,,rf_patient_appointments; rf_hub_queue
capacity.reservation.expired,capacity,booking,CapacityReservation,lifecycle,additive_only,superseding,CESV_CAPACITY_RESERVATION_EXPIRED_V1,declared,booking; hub_coordination,service_command_api,,rf_patient_appointments; rf_hub_queue
capacity.reservation.superseded,capacity,booking,CapacityReservation,lifecycle,additive_only,superseding,CESV_CAPACITY_RESERVATION_SUPERSEDED_V1,declared,booking; hub_coordination,service_command_api,,rf_patient_appointments; rf_hub_queue
capacity.reservation.disputed,capacity,booking,CapacityReservation,blocker,additive_only,append_only,CESV_CAPACITY_RESERVATION_DISPUTED_V1,declared,booking; hub_coordination,service_command_api,,rf_patient_appointments; rf_hub_queue
capacity.reservation.truth.updated,capacity,booking,CapacityReservation,evidence,additive_only,idempotent_replace,CESV_CAPACITY_RESERVATION_TRUTH_UPDATED_V1,declared,booking; hub_coordination,service_command_api,,rf_patient_appointments; rf_hub_queue
support.action.settled,support,support,SupportTicket,settlement,new_version_required,append_only,CESV_SUPPORT_ACTION_SETTLED_V1,declared,support; communications; identity_access,service_command_api,,rf_support_ticket_workspace; rf_support_replay_observe
support.repair.route_opened,support,support,SupportTicket,lifecycle,additive_only,append_only,CESV_SUPPORT_REPAIR_ROUTE_OPENED_V1,declared,support; communications; identity_access,service_command_api,,rf_support_ticket_workspace; rf_support_replay_observe
support.repair.route_settled,support,support,SupportTicket,settlement,new_version_required,append_only,CESV_SUPPORT_REPAIR_ROUTE_SETTLED_V1,declared,support; communications; identity_access,service_command_api,,rf_support_ticket_workspace; rf_support_replay_observe
support.replay.restore.required,support,support,SupportReplayRestoreSettlement,recovery,additive_only,append_only,CESV_SUPPORT_REPLAY_RESTORE_REQUIRED_V1,declared,support; communications; identity_access,service_command_api,,rf_support_ticket_workspace; rf_support_replay_observe
support.replay.restore.settled,support,support,SupportReplayRestoreSettlement,recovery,namespace_break,append_only,CESV_SUPPORT_REPLAY_RESTORE_SETTLED_V1,declared,support; communications; identity_access,service_command_api,,rf_support_ticket_workspace; rf_support_replay_observe
assistive.transcript.ready,assistive,assistive_lab,TranscriptArtifact,lifecycle,new_version_required,append_only,CESV_ASSISTIVE_TRANSCRIPT_READY_V1,watch,assistive_lab; triage_workspace; support,,,rf_assistive_control_shell; rf_staff_workspace_child
assistive.context.snapshot.created,assistive,assistive_lab,AssistiveContinuityEvidenceProjection,continuity,new_version_required,append_only,CESV_ASSISTIVE_CONTEXT_SNAPSHOT_CREATED_V1,watch,assistive_lab; triage_workspace; support,,,rf_assistive_control_shell; rf_staff_workspace_child
assistive.artifact.generated,assistive,assistive_lab,TranscriptPresentationArtifact,lifecycle,new_version_required,append_only,CESV_ASSISTIVE_ARTIFACT_GENERATED_V1,watch,assistive_lab; triage_workspace; support,,,rf_assistive_control_shell; rf_staff_workspace_child
assistive.run.settled,assistive,assistive_lab,AssistiveReleaseCandidate,settlement,new_version_required,append_only,CESV_ASSISTIVE_RUN_SETTLED_V1,watch,assistive_lab; triage_workspace; support,,,rf_assistive_control_shell; rf_staff_workspace_child
assistive.freeze.opened,assistive,assistive_lab,AssistiveReleaseCandidate,lifecycle,namespace_break,append_only,CESV_ASSISTIVE_FREEZE_OPENED_V1,watch,assistive_lab; triage_workspace; support,,,rf_assistive_control_shell; rf_staff_workspace_child
assistive.freeze.released,assistive,assistive_lab,AssistiveReleaseCandidate,lifecycle,namespace_break,superseding,CESV_ASSISTIVE_FREEZE_RELEASED_V1,watch,assistive_lab; triage_workspace; support,,,rf_assistive_control_shell; rf_staff_workspace_child
assistive.session.continuity.updated,assistive,assistive_lab,AssistiveContinuityEvidenceProjection,continuity,new_version_required,idempotent_replace,CESV_ASSISTIVE_SESSION_CONTINUITY_UPDATED_V1,watch,assistive_lab; triage_workspace; support,,,rf_assistive_control_shell; rf_staff_workspace_child
policy.bundle.compiled,policy,governance_admin,CompiledPolicyBundle,policy,new_version_required,append_only,CESV_POLICY_BUNDLE_COMPILED_V1,watch,governance_admin; release_control,,,rf_governance_shell; rf_operations_drilldown
policy.bundle.rejected,policy,governance_admin,CompiledPolicyBundle,policy,new_version_required,append_only,CESV_POLICY_BUNDLE_REJECTED_V1,watch,governance_admin; release_control,,,rf_governance_shell; rf_operations_drilldown
policy.bundle.promoted,policy,governance_admin,CompiledPolicyBundle,policy,new_version_required,append_only,CESV_POLICY_BUNDLE_PROMOTED_V1,watch,governance_admin; release_control,,,rf_governance_shell; rf_operations_drilldown
release.candidate.published,release,release_control,ReleaseCandidate,policy,new_version_required,append_only,CESV_RELEASE_CANDIDATE_PUBLISHED_V1,declared,release_control; platform_runtime,service_api_gateway,,rf_governance_shell; rf_operations_board
release.wave.started,release,release_control,DeploymentWave,policy,new_version_required,append_only,CESV_RELEASE_WAVE_STARTED_V1,declared,release_control; platform_runtime,service_api_gateway,,rf_governance_shell; rf_operations_board
release.wave.widened,release,release_control,DeploymentWave,policy,new_version_required,append_only,CESV_RELEASE_WAVE_WIDENED_V1,declared,release_control; platform_runtime,service_api_gateway,,rf_governance_shell; rf_operations_board
release.freeze.opened,release,release_control,DeploymentWave,policy,namespace_break,append_only,CESV_RELEASE_FREEZE_OPENED_V1,declared,release_control; platform_runtime,service_api_gateway,,rf_governance_shell; rf_operations_board
release.freeze.released,release,release_control,DeploymentWave,policy,namespace_break,superseding,CESV_RELEASE_FREEZE_RELEASED_V1,declared,release_control; platform_runtime,service_api_gateway,,rf_governance_shell; rf_operations_board
release.rollback.started,release,release_control,DeploymentWave,policy,new_version_required,superseding,CESV_RELEASE_ROLLBACK_STARTED_V1,declared,release_control; platform_runtime,service_api_gateway,,rf_governance_shell; rf_operations_board
release.rollback.completed,release,release_control,DeploymentWave,policy,new_version_required,superseding,CESV_RELEASE_ROLLBACK_COMPLETED_V1,declared,release_control; platform_runtime,service_api_gateway,,rf_governance_shell; rf_operations_board
analytics.projection_health.updated,analytics,analytics_assurance,AssuranceGraphCompletenessVerdict,observability,new_version_required,observational,CESV_ANALYTICS_PROJECTION_HEALTH_UPDATED_V1,watch,analytics_assurance; platform_runtime; release_control,,,rf_operations_board; rf_operations_drilldown
analytics.assurance_slice.degraded,analytics,analytics_assurance,AssuranceSliceTrustRecord,observability,new_version_required,observational,CESV_ANALYTICS_ASSURANCE_SLICE_DEGRADED_V1,watch,analytics_assurance; platform_runtime; release_control,,,rf_operations_board; rf_operations_drilldown
analytics.assurance_slice.quarantined,analytics,analytics_assurance,AssuranceSliceTrustRecord,observability,new_version_required,observational,CESV_ANALYTICS_ASSURANCE_SLICE_QUARANTINED_V1,watch,analytics_assurance; platform_runtime; release_control,,,rf_operations_board; rf_operations_drilldown
analytics.continuity_control.health.updated,analytics,analytics_assurance,AssuranceGraphCompletenessVerdict,observability,new_version_required,observational,CESV_ANALYTICS_CONTINUITY_CONTROL_HEALTH_UPDATED_V1,watch,analytics_assurance; platform_runtime; release_control,,,rf_operations_board; rf_operations_drilldown
audit.recorded,audit,audit_compliance,AuditRecord,observability,new_version_required,observational,CESV_AUDIT_RECORDED_V1,watch,audit_compliance; governance_admin; release_control,,,rf_governance_shell; rf_operations_drilldown; rf_support_replay_observe
audit.break_glass.used,audit,audit_compliance,AuditRecord,observability,namespace_break,observational,CESV_AUDIT_BREAK_GLASS_USED_V1,watch,audit_compliance; governance_admin; release_control,,,rf_governance_shell; rf_operations_drilldown; rf_support_replay_observe
audit.export.generated,audit,audit_compliance,AuditRecord,observability,new_version_required,observational,CESV_AUDIT_EXPORT_GENERATED_V1,watch,audit_compliance; governance_admin; release_control,,,rf_governance_shell; rf_operations_drilldown; rf_support_replay_observe
