gateway_surface_id,gateway_surface_name,audience_surface_id,route_family_id,shell_type,app_package_id,stack_option_id,bff_pattern_option_id,session_policy_ref,tenant_isolation_mode,blast_radius_mode,downstream_family_refs,trust_zone_boundary_refs,acting_scope_profile_refs,contract_manifest_id,route_runtime_shape,split_reason,notes,source_refs
gws_patient_intake_web,Patient intake entry gateway,surf_patient_intake_web,rf_intake_self_service,patient,app_patient_web,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_PATIENT_PUBLIC_EPHEMERAL,shared_public_pre_tenant,pending_subject_lineage_only,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PATIENT_PUBLIC_INTAKE,fcm_intake_self_service,typed_query_plus_mutation_plus_live_contracts,Public pre-identity routes stay narrow so intake and telephony parity cannot inherit authenticated cache or session assumptions.,"Web intake remains in the same lineage until claim or promotion, so the gateway stays narrow and intake-specific.",blueprint-init.md#2. Core product surfaces; phase-0-the-foundation-protocol.md#12.1 Mandatory audience tiers; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_patient_intake_phone,Telephony / IVR intake capture gateway,surf_patient_intake_phone,rf_intake_telephony_capture,patient,app_patient_web,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_TELEPHONY_CAPTURE_PROXY,shared_public_pre_tenant,pending_subject_lineage_only,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PATIENT_PUBLIC_INTAKE,fcm_intake_telephony_capture,typed_query_plus_mutation_plus_live_contracts,Public pre-identity routes stay narrow so intake and telephony parity cannot inherit authenticated cache or session assumptions.,Telephony capture shares the intake lineage but not the web gateway contract because session policy and dependency posture differ.,blueprint-init.md#2. Core product surfaces; phase-0-the-foundation-protocol.md#0.2 Continuity key and shell law; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_patient_secure_link_recovery,Secure-link recovery and claim resume gateway,surf_patient_secure_link_recovery,rf_patient_secure_link_recovery,patient,app_patient_web,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_GRANT_SCOPED_RECOVERY,tenant_scoped_lineage_grant,single_subject_single_lineage,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PATIENT_GRANT_RECOVERY,fcm_patient_secure_link_recovery,typed_query_plus_mutation_plus_live_contracts,Secure-link recovery needs its own grant-scoped boundary and recovery-only fallback posture.,Secure-link recovery is deliberately isolated from the broader authenticated patient gateway posture.,"patient-account-and-communications-blueprint.md#Patient audience coverage contract; phase-0-the-foundation-protocol.md#5.4 Claim, secure-link, and embedded access algorithm; platform-runtime-and-release-blueprint.md#GatewayBffSurface"
gws_patient_home,Patient home and spotlight gateway,surf_patient_home,rf_patient_home,patient,app_patient_web,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_PATIENT_AUTHENTICATED_SHELL,tenant_scoped_subject,single_tenant_subject_projection,projection,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PATIENT_AUTHENTICATED,fcm_patient_home,typed_query_plus_mutation_plus_live_contracts,Read-dominant surfaces stay split from writable peers because session and cache scope differ.,Home is projection-only because it orients and launches follow-up work but does not itself settle commands.,patient-portal-experience-architecture-blueprint.md#Portal entry and shell topology; patient-account-and-communications-blueprint.md#Patient home contract; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_patient_requests,Request list and detail gateway,surf_patient_requests,rf_patient_requests,patient,app_patient_web,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_PATIENT_AUTHENTICATED_SHELL,tenant_scoped_subject,single_tenant_subject_request_family,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PATIENT_AUTHENTICATED,fcm_patient_requests,typed_query_plus_mutation_plus_live_contracts,Split remains published because SP_PATIENT_AUTHENTICATED_SHELL and tenant_scoped_subject must stay auditable at the route-family tuple level.,"Request detail, more-info reply, and child-work entry require a narrower gateway than patient home.",patient-account-and-communications-blueprint.md#Requests browsing contract; patient-account-and-communications-blueprint.md#Request detail contract; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_patient_appointments,Appointments and manage gateway,surf_patient_appointments,rf_patient_appointments,patient,app_patient_web,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_PATIENT_AUTHENTICATED_SHELL,tenant_scoped_subject,single_tenant_subject_booking_family,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PATIENT_AUTHENTICATED,fcm_patient_appointments,typed_query_plus_mutation_plus_live_contracts,Split remains published because SP_PATIENT_AUTHENTICATED_SHELL and tenant_scoped_subject must stay auditable at the route-family tuple level.,Booking manage and confirmation truth stay distinct from general request detail and require their own recovery posture.,"phase-0-the-foundation-protocol.md#5.6 Booking, waitlist, hub, and pharmacy continuity algorithm; patient-account-and-communications-blueprint.md#Core projections; platform-runtime-and-release-blueprint.md#GatewayBffSurface"
gws_patient_health_record,Patient health record and documents gateway,surf_patient_health_record,rf_patient_health_record,patient,app_patient_web,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_PATIENT_AUTHENTICATED_SHELL,tenant_scoped_subject,single_tenant_subject_record_projection,projection,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PATIENT_AUTHENTICATED,fcm_patient_health_record,typed_query_plus_mutation_plus_live_contracts,Read-dominant surfaces stay split from writable peers because session and cache scope differ.,Record viewing is projection- and artifact-governed and never grants broad patient mutation access.,phase-0-the-foundation-protocol.md#5.5A Patient record and results visualization algorithm; patient-account-and-communications-blueprint.md#Core projections; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_patient_messages,Messages and callback thread gateway,surf_patient_messages,rf_patient_messages,patient,app_patient_web,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_PATIENT_AUTHENTICATED_SHELL,tenant_scoped_subject,single_tenant_subject_message_thread,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PATIENT_AUTHENTICATED,fcm_patient_messages,typed_query_plus_mutation_plus_live_contracts,Split remains published because SP_PATIENT_AUTHENTICATED_SHELL and tenant_scoped_subject must stay auditable at the route-family tuple level.,"Conversation reply, callback repair, and clinician-message posture stay inside a message-specific gateway contract.",phase-0-the-foundation-protocol.md#5.5 Unified care conversation algorithm; callback-and-clinician-messaging-loop.md; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_patient_embedded_shell,Embedded patient shell reuse gateway,surf_patient_embedded_shell,rf_patient_embedded_channel,patient,app_patient_web,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_PATIENT_EMBEDDED_HOST_BOUND,tenant_scoped_subject_embedded,single_tenant_subject_embedded_channel,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PATIENT_EMBEDDED,fcm_patient_embedded_channel,typed_query_plus_mutation_plus_live_contracts,Embedded patient shell parity must stay separate from browser mode because host binding and release checks differ.,Deferred Phase 7 channel mapping exists now so future embedded work cannot silently widen the main patient gateway.,"patient-portal-experience-architecture-blueprint.md#Control priorities; phase-0-the-foundation-protocol.md#5.4 Claim, secure-link, and embedded access algorithm; platform-runtime-and-release-blueprint.md#GatewayBffSurface"
gws_clinician_workspace,Clinical Workspace queue and task canvas gateway,surf_clinician_workspace,rf_staff_workspace,staff,app_clinical_workspace,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_STAFF_SSO_SINGLE_ORG,tenant_org_partition,single_tenant_single_org_operational_slice,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_STAFF_SINGLE_ORG,fcm_staff_workspace,typed_query_plus_mutation_plus_live_contracts,Split remains published because SP_STAFF_SSO_SINGLE_ORG and tenant_org_partition must stay auditable at the route-family tuple level.,Clinical workspace command authority remains single-organisation unless hub or governance tuple changes prove otherwise.,staff-workspace-interface-architecture.md#Route family; staff-operations-and-support-blueprint.md#Clinical Workspace specialization; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_clinician_workspace_child,Clinical Workspace child review states gateway,surf_clinician_workspace_child,rf_staff_workspace_child,staff,app_clinical_workspace,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_STAFF_SSO_SINGLE_ORG_CHILD,tenant_org_partition,single_tenant_single_org_child_route,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_STAFF_SINGLE_ORG,fcm_staff_workspace_child,typed_query_plus_mutation_plus_live_contracts,Split remains published because SP_STAFF_SSO_SINGLE_ORG_CHILD and tenant_org_partition must stay auditable at the route-family tuple level.,"Child routes remain separate because route family, recovery semantics, and bounded action scope differ from the shell root workspace.",staff-workspace-interface-architecture.md#Route family; staff-workspace-interface-architecture.md#Additional route rules; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_practice_ops_workspace,Practice operations workspace gateway,surf_practice_ops_workspace,rf_staff_workspace,staff,app_clinical_workspace,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_STAFF_SSO_SINGLE_ORG,tenant_org_partition,single_tenant_single_org_operational_slice,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_STAFF_SINGLE_ORG,fcm_staff_workspace,typed_query_plus_mutation_plus_live_contracts,Split remains published because SP_STAFF_SSO_SINGLE_ORG and tenant_org_partition must stay auditable at the route-family tuple level.,Practice operations stays separate from clinician workspace because minimum-necessary scope and task mix differ.,staff-workspace-interface-architecture.md#Route family; staff-operations-and-support-blueprint.md#Staff audience coverage contract; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_hub_queue,Hub queue gateway,surf_hub_queue,rf_hub_queue,hub,app_hub_desk,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_STAFF_CROSS_ORG_HUB,explicit_cross_org_subject_scope,declared_cross_org_subset_only,projection,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_HUB_CROSS_ORG,fcm_hub_queue,typed_query_plus_mutation_plus_live_contracts,Read-dominant surfaces stay split from writable peers because session and cache scope differ.,The hub queue lists cross-organisation work but does not itself broaden mutation access until the operator selects a case under the current tuple.,phase-5-the-network-horizon.md#Frontend work; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_hub_case_management,"Hub case, alternatives, exception, and audit work gateway",surf_hub_case_management,rf_hub_case_management,hub,app_hub_desk,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_STAFF_CROSS_ORG_HUB,explicit_cross_org_subject_scope,declared_cross_org_subset_only,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_HUB_CROSS_ORG,fcm_hub_case_management,typed_query_plus_mutation_plus_live_contracts,Split remains published because SP_STAFF_CROSS_ORG_HUB and explicit_cross_org_subject_scope must stay auditable at the route-family tuple level.,Hub case management is split from queue browsing because cross-organisation mutation and acknowledgement rules differ.,phase-5-the-network-horizon.md#Frontend work; phase-5-the-network-horizon.md#Hub shell-family ownership is explicit; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_pharmacy_console,Pharmacy Console case workbench gateway,surf_pharmacy_console,rf_pharmacy_console,pharmacy,app_pharmacy_console,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_PHARMACY_SERVICING_SCOPE,servicing_site_partition,single_servicing_site_or_declared_return_lane,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PHARMACY_SERVICING,fcm_pharmacy_console,typed_query_plus_mutation_plus_live_contracts,Pharmacy servicing keeps a site-scoped delivery boundary and route-specific proof posture.,Pharmacy settlement and bounce-back handling require a servicing-site-specific gateway split.,pharmacy-console-frontend-architecture.md#Mission frame; pharmacy-console-frontend-architecture.md#The recommended route family is; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_support_ticket_workspace,Support ticket workspace gateway,surf_support_ticket_workspace,rf_support_ticket_workspace,support,app_support_console,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_SUPPORT_TENANT_DELEGATE,explicit_support_delegate_scope,single_ticket_declared_tenant_scope,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_SUPPORT_ASSISTED_CAPTURE,fcm_support_ticket_workspace,typed_query_plus_mutation_plus_live_contracts,Split remains published because SP_SUPPORT_TENANT_DELEGATE and explicit_support_delegate_scope must stay auditable at the route-family tuple level.,Support ticket work is distinct from replay and governance evidence access and remains tenant-delegated rather than platform-wide.,staff-operations-and-support-blueprint.md#Support route contract; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_support_replay_observe,Support replay and observe gateway,surf_support_replay_observe,rf_support_replay_observe,support,app_support_console,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_SUPPORT_REPLAY_ENVELOPE,explicit_support_investigation_scope,selected_anchor_and_envelope_only,projection; assurance_security,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core; tzb_published_gateway_to_assurance_security,ACT_SUPPORT_REPLAY_RESTORE,fcm_support_replay_observe,typed_query_plus_mutation_plus_live_contracts,"Support replay is masked, observe-only, and assurance-bound, so it cannot share a writable support surface.",Replay and restore inspection cross into assurance and resilience evidence and therefore cannot share the support ticket gateway.,staff-operations-and-support-blueprint.md#Support route contract; phase-0-the-foundation-protocol.md#6.5 Support and replay algorithm; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_support_assisted_capture,Support-assisted capture and recovery gateway,surf_support_assisted_capture,rf_support_ticket_workspace,support,app_support_console,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_SUPPORT_ASSISTED_CAPTURE,explicit_support_delegate_scope,single_ticket_declared_tenant_scope,projection; command; assurance_security,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core; tzb_published_gateway_to_assurance_security,ACT_SUPPORT_ASSISTED_CAPTURE,fcm_support_ticket_workspace,typed_query_plus_mutation_plus_live_contracts,This surface reaches assurance or replay workloads and therefore cannot hide inside a broader audience BFF.,Assisted capture can write under a support delegate tuple but still requires assurance policy posture and immutable audit.,blueprint-init.md#2. Core product surfaces; staff-operations-and-support-blueprint.md#Support route contract; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_operations_board,Operations board gateway,surf_operations_board,rf_operations_board,operations,app_ops_console,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_OPERATIONS_WATCH_TUPLE,platform_observation_aggregate,declared_wave_or_incident_scope_only,projection; assurance_security,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core; tzb_published_gateway_to_assurance_security,ACT_OPERATIONS_WATCH,fcm_operations_board,typed_query_plus_mutation_plus_live_contracts,Operations board and drilldown diverge on downstream command reach and resilience control fences.,"The board shows multi-tenant truth, but all blast radius must be machine-readable and tuple-bound.",operations-console-frontend-blueprint.md#Canonical route family; operations-console-frontend-blueprint.md#Calm board posture and briefing artifacts; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_operations_drilldown,Operations investigation and intervention drill-down gateway,surf_operations_drilldown,rf_operations_drilldown,operations,app_ops_console,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_RESILIENCE_CONTROL_SCOPE,platform_observation_aggregate,declared_wave_or_incident_scope_only,projection; command; assurance_security,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core; tzb_published_gateway_to_assurance_security,ACT_RESILIENCE_CONTROL,fcm_operations_drilldown,typed_query_plus_mutation_plus_live_contracts,Operations board and drilldown diverge on downstream command reach and resilience control fences.,"Restore and failover actions stay here, not in the broader operations board gateway, because authority and recovery posture differ.",operations-console-frontend-blueprint.md#Canonical route family; operations-console-frontend-blueprint.md#Restore reporting and board-frame discipline; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_governance_shell,Governance and Admin shell gateway,surf_governance_shell,rf_governance_shell,governance,app_governance_admin,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_GOVERNANCE_SCOPE_TUPLE,platform_control_plane_with_explicit_blast_radius,explicit_tenant_or_multi_tenant_blast_radius,projection; command; assurance_security,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core; tzb_published_gateway_to_assurance_security,ACT_GOVERNANCE_PLATFORM,fcm_governance_shell,typed_query_plus_mutation_plus_live_contracts,Governance requires release and blast-radius tuples that do not belong in operational or staff surfaces.,Governance is platform-scoped but must still declare affected-tenant and affected-organisation counts on every consequential action.,governance-admin-console-frontend-blueprint.md#Shell and route topology; governance-admin-console-frontend-blueprint.md#Primary governance personas; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_assistive_sidecar,Assistive companion sidecar inside the owning task gateway,surf_assistive_sidecar,rf_staff_workspace_child,staff,app_clinical_workspace,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_ASSISTIVE_ADJUNCT_INHERITED,inherited_scope_no_standalone_tenant_widening,owner_shell_scope_only,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_ASSISTIVE_ADJUNCT,fcm_staff_workspace_child,typed_query_plus_mutation_plus_live_contracts,Split remains published because SP_ASSISTIVE_ADJUNCT_INHERITED and inherited_scope_no_standalone_tenant_widening must stay auditable at the route-family tuple level.,Standalone assistive-control URLs remain conditional; the live baseline keeps the sidecar bound to its owning shell scope.,phase-8-the-assistive-layer.md#Control priorities; staff-workspace-interface-architecture.md#Assistive companion presentation profile; platform-runtime-and-release-blueprint.md#GatewayBffSurface
