contrast_matrix_id,theme,contrast,semantic_role,foreground_token,background_token,foreground_hex,background_hex,contrast_ratio,minimum_ratio,status
light_standard_surface_text_sys.text.strong_sys.surface.canvas,light,standard,surface_text,sys.text.strong,sys.surface.canvas,#0F1720,#F7F8FA,16.98,7.00,pass
light_standard_surface_text_sys.text.default_sys.surface.panel,light,standard,surface_text,sys.text.default,sys.surface.panel,#24313D,#FFFFFF,13.28,4.50,pass
light_standard_surface_text_sys.text.muted_sys.surface.panel,light,standard,surface_text,sys.text.muted,sys.surface.panel,#5E6B78,#FFFFFF,5.45,4.50,pass
light_standard_focus_sys.focus.ring_sys.surface.panel,light,standard,focus,sys.focus.ring,sys.surface.panel,#2F6FED,#FFFFFF,4.55,3.00,pass
light_standard_neutral_text_sys.state.neutral.text_sys.state.neutral.container,light,standard,neutral_text,sys.state.neutral.text,sys.state.neutral.container,#0F1720,#E8EEF3,15.43,4.50,pass
light_standard_neutral_border_sys.state.neutral.border_sys.state.neutral.container,light,standard,neutral_border,sys.state.neutral.border,sys.state.neutral.container,#777f87,#E8EEF3,3.47,3.00,pass
light_standard_active_text_sys.state.active.text_sys.state.active.container,light,standard,active_text,sys.state.active.text,sys.state.active.container,#0F1720,#eaf1fd,15.90,4.50,pass
light_standard_active_border_sys.state.active.border_sys.state.active.container,light,standard,active_border,sys.state.active.border,sys.state.active.container,#2F6FED,#eaf1fd,4.01,3.00,pass
light_standard_review_text_sys.state.review.text_sys.state.review.container,light,standard,review_text,sys.state.review.text,sys.state.review.container,#0F1720,#f8f2e9,16.21,4.50,pass
light_standard_review_border_sys.state.review.border_sys.state.review.container,light,standard,review_border,sys.state.review.border,sys.state.review.container,#B7791F,#f8f2e9,3.27,3.00,pass
light_standard_insight_text_sys.state.insight.text_sys.state.insight.container,light,standard,insight_text,sys.state.insight.text,sys.state.insight.container,#0F1720,#efeffe,15.85,4.50,pass
light_standard_insight_border_sys.state.insight.border_sys.state.insight.container,light,standard,insight_border,sys.state.insight.border,sys.state.insight.container,#5B61F6,#efeffe,4.11,3.00,pass
light_standard_success_text_sys.state.success.text_sys.state.success.container,light,standard,success_text,sys.state.success.text,sys.state.success.container,#0F1720,#e7f2ee,15.75,4.50,pass
light_standard_success_border_sys.state.success.border_sys.state.success.container,light,standard,success_border,sys.state.success.border,sys.state.success.container,#117A55,#e7f2ee,4.65,3.00,pass
light_standard_danger_text_sys.state.danger.text_sys.state.danger.container,light,standard,danger_text,sys.state.danger.text,sys.state.danger.container,#0F1720,#f8e9e8,15.31,4.50,pass
light_standard_danger_border_sys.state.danger.border_sys.state.danger.container,light,standard,danger_border,sys.state.danger.border,sys.state.danger.container,#B42318,#f8e9e8,5.58,3.00,pass
light_high_surface_text_sys.text.strong_sys.surface.canvas,light,high,surface_text,sys.text.strong,sys.surface.canvas,#091118,#F5F7FA,17.71,7.00,pass
light_high_surface_text_sys.text.default_sys.surface.panel,light,high,surface_text,sys.text.default,sys.surface.panel,#13202B,#FFFFFF,16.55,4.50,pass
light_high_surface_text_sys.text.muted_sys.surface.panel,light,high,surface_text,sys.text.muted,sys.surface.panel,#384552,#FFFFFF,9.81,4.50,pass
light_high_focus_sys.focus.ring_sys.surface.panel,light,high,focus,sys.focus.ring,sys.surface.panel,#1455D9,#FFFFFF,6.30,3.00,pass
light_high_neutral_text_sys.state.neutral.text_sys.state.neutral.container,light,high,neutral_text,sys.state.neutral.text,sys.state.neutral.container,#091118,#E2EAF1,15.63,4.50,pass
light_high_neutral_border_sys.state.neutral.border_sys.state.neutral.container,light,high,neutral_border,sys.state.neutral.border,sys.state.neutral.container,#767e84,#E2EAF1,3.39,3.00,pass
light_high_active_text_sys.state.active.text_sys.state.active.container,light,high,active_text,sys.state.active.text,sys.state.active.container,#091118,#d9e4f9,14.86,4.50,pass
light_high_active_border_sys.state.active.border_sys.state.active.container,light,high,active_border,sys.state.active.border,sys.state.active.container,#1455D9,#d9e4f9,4.93,3.00,pass
light_high_review_text_sys.state.review.text_sys.state.review.container,light,high,review_text,sys.state.review.text,sys.state.review.container,#091118,#ede4d8,15.10,4.50,pass
light_high_review_border_sys.state.review.border_sys.state.review.container,light,high,review_border,sys.state.review.border,sys.state.review.container,#8C560E,#ede4d8,4.83,3.00,pass
light_high_insight_text_sys.state.insight.text_sys.state.insight.container,light,high,insight_text,sys.state.insight.text,sys.state.insight.container,#091118,#e1e2fc,14.92,4.50,pass
light_high_insight_border_sys.state.insight.border_sys.state.insight.container,light,high,insight_border,sys.state.insight.border,sys.state.insight.container,#454CEE,#e1e2fc,4.68,3.00,pass
light_high_success_text_sys.state.success.text_sys.state.success.container,light,high,success_text,sys.state.success.text,sys.state.success.container,#091118,#d8e7e2,14.89,4.50,pass
light_high_success_border_sys.state.success.border_sys.state.success.container,light,high,success_border,sys.state.success.border,sys.state.success.container,#0A6847,#d8e7e2,5.33,3.00,pass
light_high_danger_text_sys.state.danger.text_sys.state.danger.container,light,high,danger_text,sys.state.danger.text,sys.state.danger.container,#091118,#efdbd9,14.30,4.50,pass
light_high_danger_border_sys.state.danger.border_sys.state.danger.container,light,high,danger_border,sys.state.danger.border,sys.state.danger.container,#981B13,#efdbd9,6.32,3.00,pass
dark_standard_surface_text_sys.text.strong_sys.surface.canvas,dark,standard,surface_text,sys.text.strong,sys.surface.canvas,#F5F7FA,#0D141B,17.27,7.00,pass
dark_standard_surface_text_sys.text.default_sys.surface.panel,dark,standard,surface_text,sys.text.default,sys.surface.panel,#D6DEE6,#162430,11.62,4.50,pass
dark_standard_surface_text_sys.text.muted_sys.surface.panel,dark,standard,surface_text,sys.text.muted,sys.surface.panel,#9FB0C1,#162430,7.11,4.50,pass
dark_standard_focus_sys.focus.ring_sys.surface.panel,dark,standard,focus,sys.focus.ring,sys.surface.panel,#78A7FF,#162430,6.60,3.00,pass
dark_standard_neutral_text_sys.state.neutral.text_sys.state.neutral.container,dark,standard,neutral_text,sys.state.neutral.text,sys.state.neutral.container,#F5F7FA,#0F1821,16.68,4.50,pass
dark_standard_neutral_border_sys.state.neutral.border_sys.state.neutral.container,dark,standard,neutral_border,sys.state.neutral.border,sys.state.neutral.container,#99a2ac,#0F1821,6.92,3.00,pass
dark_standard_active_text_sys.state.active.text_sys.state.active.container,dark,standard,active_text,sys.state.active.text,sys.state.active.container,#F5F7FA,#2e4362,9.34,4.50,pass
dark_standard_active_border_sys.state.active.border_sys.state.active.container,dark,standard,active_border,sys.state.active.border,sys.state.active.container,#78A7FF,#2e4362,4.19,3.00,pass
dark_standard_review_text_sys.state.review.text_sys.state.review.container,dark,standard,review_text,sys.state.review.text,sys.state.review.container,#F5F7FA,#464436,9.14,4.50,pass
dark_standard_review_border_sys.state.review.border_sys.state.review.container,dark,standard,review_border,sys.state.review.border,sys.state.review.container,#E0A94A,#464436,4.65,3.00,pass
dark_standard_insight_text_sys.state.insight.text_sys.state.insight.container,dark,standard,insight_text,sys.state.insight.text,sys.state.insight.container,#F5F7FA,#364162,9.37,4.50,pass
dark_standard_insight_border_sys.state.insight.border_sys.state.insight.container,dark,standard,insight_border,sys.state.insight.border,sys.state.insight.container,#9A9BFF,#364162,4.07,3.00,pass
dark_standard_success_text_sys.state.success.text_sys.state.success.container,dark,standard,success_text,sys.state.success.text,sys.state.success.container,#F5F7FA,#1f4846,9.44,4.50,pass
dark_standard_success_border_sys.state.success.border_sys.state.success.container,dark,standard,success_border,sys.state.success.border,sys.state.success.container,#3DB98B,#1f4846,4.10,3.00,pass
dark_standard_danger_text_sys.state.danger.text_sys.state.danger.container,dark,standard,danger_text,sys.state.danger.text,sys.state.danger.container,#F5F7FA,#4a353c,10.49,4.50,pass
dark_standard_danger_border_sys.state.danger.border_sys.state.danger.container,dark,standard,danger_border,sys.state.danger.border,sys.state.danger.container,#F06A62,#4a353c,3.72,3.00,pass
dark_high_surface_text_sys.text.strong_sys.surface.canvas,dark,high,surface_text,sys.text.strong,sys.surface.canvas,#FCFDFF,#091018,18.78,7.00,pass
dark_high_surface_text_sys.text.default_sys.surface.panel,dark,high,surface_text,sys.text.default,sys.surface.panel,#EEF3F8,#12202B,14.84,4.50,pass
dark_high_surface_text_sys.text.muted_sys.surface.panel,dark,high,surface_text,sys.text.muted,sys.surface.panel,#CAD6E2,#12202B,11.23,4.50,pass
dark_high_focus_sys.focus.ring_sys.surface.panel,dark,high,focus,sys.focus.ring,sys.surface.panel,#9ABCFF,#12202B,8.69,3.00,pass
dark_high_neutral_text_sys.state.neutral.text_sys.state.neutral.container,dark,high,neutral_text,sys.state.neutral.text,sys.state.neutral.container,#FCFDFF,#0B141C,18.24,4.50,pass
dark_high_neutral_border_sys.state.neutral.border_sys.state.neutral.container,dark,high,neutral_border,sys.state.neutral.border,sys.state.neutral.container,#b9c0c7,#0B141C,10.10,3.00,pass
dark_high_active_text_sys.state.active.text_sys.state.active.container,dark,high,active_text,sys.state.active.text,sys.state.active.container,#FCFDFF,#3e526f,7.81,4.50,pass
dark_high_active_border_sys.state.active.border_sys.state.active.container,dark,high,active_border,sys.state.active.border,sys.state.active.container,#9ABCFF,#3e526f,4.17,3.00,pass
dark_high_review_text_sys.state.review.text_sys.state.review.container,dark,high,review_text,sys.state.review.text,sys.state.review.container,#FCFDFF,#5a533c,7.54,4.50,pass
dark_high_review_border_sys.state.review.border_sys.state.review.container,dark,high,review_border,sys.state.review.border,sys.state.review.container,#F2BF61,#5a533c,4.53,3.00,pass
dark_high_insight_text_sys.state.insight.text_sys.state.insight.container,dark,high,insight_text,sys.state.insight.text,sys.state.insight.container,#FCFDFF,#48516f,7.69,4.50,pass
dark_high_insight_border_sys.state.insight.border_sys.state.insight.container,dark,high,insight_border,sys.state.insight.border,sys.state.insight.container,#BBB8FF,#48516f,4.26,3.00,pass
dark_high_success_text_sys.state.success.text_sys.state.success.container,dark,high,success_text,sys.state.success.text,sys.state.success.container,#FCFDFF,#2c5952,7.76,4.50,pass
dark_high_success_border_sys.state.success.border_sys.state.success.container,dark,high,success_border,sys.state.success.border,sys.state.success.container,#62D1A6,#2c5952,4.21,3.00,pass
dark_high_danger_text_sys.state.danger.text_sys.state.danger.container,dark,high,danger_text,sys.state.danger.text,sys.state.danger.container,#FCFDFF,#5e4247,8.79,4.50,pass
dark_high_danger_border_sys.state.danger.border_sys.state.danger.container,dark,high,danger_border,sys.state.danger.border,sys.state.danger.container,#FF8B84,#5e4247,3.95,3.00,pass
